caldt,vwretd,ewretd,sprtrn,spindx
,,,,
19251231,.,.,.,12.46
19260130,-0.001138,0.006457,0.022472,12.74
19260227,-0.033628,-0.039979,-0.043956,12.18
19260331,-0.057883,-0.067915,-0.059113,11.46
19260430,0.03855,0.031441,0.022688,11.72
19260528,0.013231,0.012011,0.007679,11.81
19260630,0.056443,0.052142,0.043184,12.32
19260731,0.040371,0.037547,0.045455,12.88
19260831,0.029905,0.018924,0.017081,13.1
19260930,0.013389,0.014037,0.022901,13.4
19261030,-0.030122,-0.025891,-0.031343,12.98
19261130,0.026949,0.036507,0.022342,13.27
19261231,0.026079,0.021203,0.016579,13.49
19270131,-0.002657,-0.003955,-0.020756,13.21
19270228,0.045743,0.043428,0.047691,13.84
19270331,0.007338,-0.010052,0.006503,13.93
19270430,0.013274,0.0069,0.017229,14.17
19270531,0.063182,0.064407,0.052223,14.91
19270630,-0.020384,-0.02692,-0.00939,14.77
19270730,0.084475,0.067444,0.064997,15.73
19270831,0.033462,0.026115,0.044501,16.43
19270930,0.052987,0.057959,0.043214,17.14
19271031,-0.046983,-0.045279,-0.053092,16.23
19271130,0.070441,0.078058,0.067776,17.33
19271231,0.019238,0.0198,0.019042,17.66
19280131,-0.007405,0.011459,-0.005096,17.57
19280229,-0.012166,-0.021508,-0.017644,17.26
19280331,0.105999,0.075281,0.108343,19.13
19280430,0.034892,0.040016,0.03241,19.75
19280531,0.01262,0.015924,0.012658,20
19280630,-0.034361,-0.048573,-0.0405,19.19
19280731,0.010529,0.007727,0.012507,19.43
19280831,0.070237,0.067993,0.074112,20.87
19280929,0.021749,0.025717,0.023958,21.37
19281031,0.014558,0.006281,0.014506,21.68
19281130,0.122505,0.129537,0.119926,24.28
19281231,0.006256,0.026322,0.002883,24.35
19290131,0.054243,0.073311,0.057084,25.74
19290228,-0.003394,-0.011241,-0.005828,25.59
19290328,0.001587,-0.011448,-0.002345,25.53
19290430,0.019358,0.01195,0.01606,25.94
19290531,-0.041283,-0.033982,-0.042791,24.83
19290629,0.110445,0.106753,0.112364,27.62
19290731,0.049728,0.050745,0.045619,28.88
19290830,0.095652,0.078359,0.097992,31.71
19290930,-0.051174,-0.030728,-0.04888,30.16
19291031,-0.184403,-0.175188,-0.199271,24.15
19291127,-0.124948,-0.116976,-0.133747,20.92
19291231,0.027602,0.015063,0.025335,21.45
19300131,0.058936,0.065854,0.062471,22.79
19300228,0.025649,0.037402,0.021501,23.28
19300331,0.072637,0.053208,0.079897,25.14
19300430,-0.01409,-0.028758,-0.009547,24.9
19300529,-0.010975,-0.015566,-0.016466,24.49
19300630,-0.15527,-0.154492,-0.164557,20.46
19300731,0.038638,0.035467,0.036657,21.21
19300829,0.011221,0.001968,0.007544,21.37
19300930,-0.123333,-0.129006,-0.130089,18.59
19301031,-0.083882,-0.081521,-0.088757,16.94
19301129,-0.020397,-0.008595,-0.021842,16.57
19301231,-0.071745,-0.092791,-0.074231,15.34
19310131,0.059792,0.097629,0.048892,16.09
19310228,0.11092,0.113321,0.114357,17.93
19310331,-0.069806,-0.078704,-0.069158,16.69
19310430,-0.092637,-0.128064,-0.095866,15.09
19310529,-0.137296,-0.150141,-0.137177,13.02
19310630,0.146717,0.190566,0.139017,14.83
19310731,-0.075106,-0.082237,-0.074174,13.73
19310831,0.007596,-0.014416,0.009468,13.86
19310930,-0.287342,-0.310002,-0.299423,9.71
19311031,0.076127,0.066016,0.084449,10.53
19311130,-0.102083,-0.12295,-0.097816,9.5
19311231,-0.138549,-0.189119,-0.145263,8.12
19320130,-0.019318,0.071316,-0.028325,7.89
19320229,0.053069,0.040919,0.050697,8.29
19320331,-0.119515,-0.163609,-0.118215,7.31
19320430,-0.207472,-0.198179,-0.202462,5.83
19320531,-0.232937,-0.299485,-0.233276,4.47
19320630,0.004426,0.030933,-0.008949,4.43
19320730,0.393826,0.55123,0.376975,6.1
19320831,0.40343,0.680415,0.37541,8.39
19320930,-0.029056,-0.065005,-0.036949,8.08
19321031,-0.143292,-0.187556,-0.138614,6.96
19321130,-0.05203,-0.094929,-0.058908,6.55
19321231,0.0609,0.019872,0.051908,6.89
19330131,0.014293,0.056629,0.007257,6.94
19330228,-0.179498,-0.199694,-0.184438,5.66
19330331,0.040094,0.083647,0.033569,5.85
19330429,0.41653,0.552452,0.422222,8.32
19330531,0.175579,0.315257,0.158654,9.64
19330630,0.138819,0.202137,0.131743,10.91
19330731,-0.084614,-0.094629,-0.087993,9.95
